Gene,ctx_direction,Metabolite,cpx_direction,Sign,edge_direction
ENSMUSG00000017264-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000017264-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000017264-B,1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000017264-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000017264-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000017264-B,1.0,L-Serine,,+,
ENSMUSG00000017264-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000017264-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000017405-B,1.0,3-(4-Methoxyphenyl)coumarin,,-,
ENSMUSG00000017405-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000017405-B,1.0,Luciferin,,-,
ENSMUSG00000017405-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000017405-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000017801-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000017801-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000017801-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000017801-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000017801-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000017801-B,-1.0,Isosorbide,,+,
ENSMUSG00000017801-B,-1.0,Tyr-Val,,-,
ENSMUSG00000017837-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000017837-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000017837-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000017837-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000017837-B,-1.0,Isosorbide,,+,
ENSMUSG00000017837-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000017858-B,1.0,"13-Docosenamide, (Z)",,-,
